Date,Couverture de la Page Facebook
2022-07-01T00:00:00,151
2022-07-02T00:00:00,85
2022-07-03T00:00:00,83
2022-07-04T00:00:00,78
2022-07-05T00:00:00,57
2022-07-06T00:00:00,54
2022-07-07T00:00:00,413
2022-07-08T00:00:00,113
2022-07-09T00:00:00,82
2022-07-10T00:00:00,69
2022-07-11T00:00:00,460
2022-07-12T00:00:00,104
2022-07-13T00:00:00,5761
2022-07-14T00:00:00,1711
2022-07-15T00:00:00,619
2022-07-16T00:00:00,438
2022-07-17T00:00:00,315
2022-07-18T00:00:00,1157
2022-07-19T00:00:00,1127
2022-07-20T00:00:00,402
2022-07-21T00:00:00,269
2022-07-22T00:00:00,190
2022-07-23T00:00:00,64
2022-07-24T00:00:00,50
2022-07-25T00:00:00,53
2022-07-26T00:00:00,40
2022-07-27T00:00:00,60
2022-07-28T00:00:00,64
2022-07-29T00:00:00,286
2022-07-30T00:00:00,92
2022-07-31T00:00:00,60
2022-08-01T00:00:00,70
2022-08-02T00:00:00,41
2022-08-03T00:00:00,60
2022-08-04T00:00:00,46
2022-08-05T00:00:00,58
2022-08-06T00:00:00,286
2022-08-07T00:00:00,72
2022-08-08T00:00:00,74
2022-08-09T00:00:00,50
2022-08-10T00:00:00,88
2022-08-11T00:00:00,331
2022-08-12T00:00:00,710
2022-08-13T00:00:00,164
2022-08-14T00:00:00,38
2022-08-15T00:00:00,52
2022-08-16T00:00:00,201
2022-08-17T00:00:00,86
2022-08-18T00:00:00,187
2022-08-19T00:00:00,67
2022-08-20T00:00:00,59
2022-08-21T00:00:00,37
2022-08-22T00:00:00,48
2022-08-23T00:00:00,52
2022-08-24T00:00:00,55
2022-08-25T00:00:00,44
2022-08-26T00:00:00,2827
2022-08-27T00:00:00,832
2022-08-28T00:00:00,344
2022-08-29T00:00:00,214
2022-08-30T00:00:00,259
2022-08-31T00:00:00,89
2022-09-01T00:00:00,78
2022-09-02T00:00:00,55
2022-09-03T00:00:00,45
2022-09-04T00:00:00,30
2022-09-05T00:00:00,40
2022-09-06T00:00:00,40
2022-09-07T00:00:00,31
2022-09-08T00:00:00,31
2022-09-09T00:00:00,30
2022-09-10T00:00:00,26
2022-09-11T00:00:00,44
2022-09-12T00:00:00,125
2022-09-13T00:00:00,4694
2022-09-14T00:00:00,798
2022-09-15T00:00:00,368
2022-09-16T00:00:00,205
2022-09-17T00:00:00,208
2022-09-18T00:00:00,232
2022-09-19T00:00:00,294
2022-09-20T00:00:00,114
2022-09-21T00:00:00,93
2022-09-22T00:00:00,126
2022-09-23T00:00:00,71
2022-09-24T00:00:00,61
2022-09-25T00:00:00,54
2022-09-26T00:00:00,54
2022-09-27T00:00:00,52
2022-09-28T00:00:00,38
2022-09-29T00:00:00,48
2022-09-30T00:00:00,44
