Date,Facebook Page likes
2022-09-01T00:00:00,12
2022-09-02T00:00:00,3
2022-09-03T00:00:00,0
2022-09-04T00:00:00,9
2022-09-05T00:00:00,3
2022-09-06T00:00:00,8
2022-09-07T00:00:00,25
2022-09-08T00:00:00,1
2022-09-09T00:00:00,5
2022-09-10T00:00:00,4
2022-09-11T00:00:00,4
2022-09-12T00:00:00,17
2022-09-13T00:00:00,12
2022-09-14T00:00:00,6
2022-09-15T00:00:00,13
2022-09-16T00:00:00,0
2022-09-17T00:00:00,3
2022-09-18T00:00:00,15
2022-09-19T00:00:00,6
2022-09-20T00:00:00,3
2022-09-21T00:00:00,0
2022-09-22T00:00:00,0
2022-09-23T00:00:00,25
2022-09-24T00:00:00,24
2022-09-25T00:00:00,0
2022-09-26T00:00:00,9
2022-09-27T00:00:00,12
2022-09-28T00:00:00,4
2022-09-29T00:00:00,9
2022-09-30T00:00:00,6
